V2,V4,X,X.1
CEBPB,NUP35,0.1343189,0.034394206
CEBPB,RBM45,0.1310853,0.031153456
CEBPB,C2orf76,0.3687913,0.269386604
CEBPB,SCLT1,0.1188807,0.018921759
CEBPB,ADM,0.4739087,0.374737119
CEBPB,TMEM37,0.2701859,0.170562478
CEBPB,CTSH,0.4097751,0.310461354
CEBPB,CTSS,0.3134031,0.213875576
CEBPB,ZNF595,0.1197176,0.019760481
CEBPB,TTC39B,0.1645944,0.064736880
CEBPB,DBT,0.1662299,0.066375996
CEBPB,DCN,0.5023758,0.403267369
CEBPB,ACE,0.2804855,0.180885004
CEBPB,CNST,0.1919083,0.092111289
CEBPB,AKR1C1,0.3937767,0.294427485
CEBPB,TIGD2,0.1218390,0.021886573
CEBPB,AGT,0.1410506,0.041140796
CEBPB,C4orf46,0.6700167,0.571280131
CEBPB,EPB41,0.1074500,0.007465718
CEBPB,EPB41L2,0.1065670,0.006580731
CEBPB,ERBB3,0.2755395,0.175928048
CEBPB,ETF1,0.2407649,0.141076272
CEBPB,ALB,0.7056585,0.607000918
CEBPB,EEF1AKMT1,0.3510391,0.251595018
CEBPB,VWDE,0.1788817,0.079055864
CEBPB,KCTD20,0.1110884,0.011112187
CEBPB,KHDC4,0.1795174,0.079692898
CEBPB,RPIA,0.2635697,0.163931641
CEBPB,MYO16,0.6790687,0.580352145
CEBPB,PLXND1,0.1141558,0.014186332
CEBPB,SLC35D1,0.1748104,0.074975450
CEBPB,EXOC6B,0.1011292,0.001130908
CEBPB,KIAA0930,0.1351749,0.035252107
CEBPB,FN1,0.1271171,0.027176376
CEBPB,FNBP4,0.1126947,0.012722050
CEBPB,ABCA6,0.2373937,0.137697635
CEBPB,WBP2,0.2688363,0.169209906
CEBPB,ZIM2,0.1581226,0.058250658
CEBPB,SLC7A11,0.3952578,0.295911811
CEBPB,FUT8,0.2770584,0.177450231
CEBPB,ZNF718,0.5931005,0.494193286
CEBPB,NOL11,0.4799093,0.380751035
CEBPB,AMPD3,0.4214590,0.322171120
