V2,V4,X
CEBPB,CTSS,1.681110e-02
CEBPB,ZNF595,4.404540e-04
CEBPB,TTC39B,2.231130e-04
CEBPB,FREM1,3.070080e-04
CEBPB,DBI,9.138325e-03
CEBPB,DBT,1.957027e-02
CEBPB,DCN,6.682640e-04
CEBPB,CNST,9.594300e-04
CEBPB,AKR1C1,2.745314e-02
CEBPB,DDIT3,5.412794e-03
CEBPB,TIGD2,2.381679e-02
CEBPB,DYNC1H1,6.610450e-04
CEBPB,AGT,2.632758e-03
CEBPB,DUSP1,1.003559e-02
CEBPB,E4F1,2.016692e-03
CEBPB,APLF,4.807890e-03
CEBPB,ADGRE1,7.570000e-05
CEBPB,C4orf46,2.268790e-02
CEBPB,SMIM14,4.831410e-03
CEBPB,EPB41,5.436840e-03
CEBPB,EPB41L2,2.536498e-02
CEBPB,ETF1,8.323930e-04
CEBPB,ETFB,5.497470e-04
CEBPB,ETFDH,8.507534e-03
CEBPB,FABP3,5.873770e-04
CEBPB,HEPACAM,8.780370e-04
CEBPB,HNRNPA3,1.831317e-03
CEBPB,VWDE,1.179934e-03
CEBPB,FDFT1,7.811157e-03
CEBPB,KCTD20,4.922282e-03
CEBPB,FGFR2,1.231040e-02
CEBPB,FGL1,3.603837e-03
CEBPB,XRN2,6.425788e-03
CEBPB,IKZF3,1.027832e-03
CEBPB,MTF2,1.702498e-03
CEBPB,SACM1L,2.717573e-03
CEBPB,RPIA,1.353125e-03
CEBPB,CNOT1,3.379622e-03
CEBPB,MYO16,1.424136e-03
CEBPB,FNBP1,6.929116e-03
CEBPB,CLASP2,1.204829e-02
CEBPB,PLXND1,3.744111e-02
CEBPB,SLC35D1,2.344523e-03
CEBPB,PSME4,1.065000e-04
CEBPB,EXOC6B,2.842708e-02
CEBPB,PPIP5K2,5.448570e-04
CEBPB,FMO5,4.148889e-03
CEBPB,KIAA0930,5.749499e-03
CEBPB,FN1,3.700000e-05
CEBPB,UBR4,5.833051e-03
CEBPB,FNBP4,1.051532e-02
CEBPB,COTL1,6.664080e-04
CEBPB,ABCA6,4.266615e-03
CEBPB,RPL13A,1.596457e-03
CEBPB,PIK3R5,1.319509e-02
CEBPB,WBP2,7.519940e-02
CEBPB,SLC7A11,2.757981e-03
CEBPB,EID1,9.166160e-03
CEBPB,TMEM9,6.099798e-03
CEBPB,FUT8,3.961476e-03
CEBPB,GPATCH11,2.961860e-04
CEBPB,MEIOB,9.611870e-04
CEBPB,ZNF718,2.549360e-04
CEBPB,POC1A,5.116700e-04
CEBPB,NOL11,7.978720e-03
CEBPB,TKFC,2.532878e-02
CEBPB,PCDHB5,1.027832e-03
CEBPB,TIMM13,5.499530e-04
CEBPB,AMPD3,8.147786e-03
CEBPB,PGAP2,2.445963e-03
CEBPB,GOT1,5.216802e-02
CEBPB,C12orf40,1.529888e-03
CEBPB,RNF149,1.756029e-02
CEBPB,COX18,4.404540e-04
CEBPB,P2RY8,5.873770e-04
CEBPB,GTF2H2,8.567655e-03
CEBPB,ABT1,6.682640e-04
CEBPB,GPR132,5.873770e-04
CEBPB,UBQLN1,6.048673e-03
CEBPB,SERPIND1,5.873770e-04
CEBPB,HCFC1,1.353125e-03
CEBPB,HDLBP,9.244770e-03
CEBPB,HLF,1.346352e-02
CEBPB,HNMT,1.052495e-03
CEBPB,HNRNPF,1.252816e-02
