V2,V4,X
ZNF263,C3,0.201376280
ZNF263,TMEM242,0.232111459
ZNF263,UBTF,0.028999981
ZNF263,CA5A,0.131710634
ZNF263,ZFAND5,0.157432754
ZNF263,PHF23,0.218388290
ZNF263,MFSD11,0.251343118
ZNF263,C1orf35,0.178062552
ZNF263,NEIL1,0.164785055
ZNF263,PARP8,0.129570511
ZNF263,ZNF668,0.058610441
ZNF263,MCTP1,0.098243864
ZNF263,NUP214,0.220309257
ZNF263,PRR7,0.194130612
ZNF263,THAP7,0.145357833
ZNF263,ZNF34,0.008471075
ZNF263,TRIM11,0.050086845
ZNF263,TSC22D4,0.203792667
ZNF263,PPP1R14C,0.197688696
ZNF263,ARPC5L,0.068088029
ZNF263,LZTR1,0.193106515
ZNF263,NUF2,0.224824470
ZNF263,AIF1L,0.005972832
ZNF263,TRAPPC9,0.289758203
ZNF263,ADGRV1,0.088383383
ZNF263,TMEM164,0.025937095
ZNF263,LTBP4,0.202331472
ZNF263,CAMKK1,0.096870754
ZNF263,EFCAB2,0.030132747
ZNF263,DDI2,0.187876279
ZNF263,SLC9A7,0.165028897
ZNF263,CREB3L3,0.004372497
ZNF263,TUBA1C,0.089667387
ZNF263,C19orf48,0.003959529
ZNF263,TRIM52,0.171269817
ZNF263,LINGO1,0.084880790
ZNF263,PLXDC2,0.224947172
ZNF263,PPM1D,0.276259032
ZNF263,PDXK,0.189097276
ZNF263,KHSRP,0.048956872
ZNF263,PLPP3,0.138300270
ZNF263,CDK13,0.237059097
ZNF263,SSNA1,0.160005340
ZNF263,EIF3G,0.228340038
ZNF263,RGS9,0.010613460
ZNF263,SYNJ2,0.216056604
ZNF263,CCND2,0.129755238
ZNF263,TOP3B,0.120854495
ZNF263,ACVR1,0.245699600
ZNF263,RNF8,0.047333299
ZNF263,TRIM41,0.012150150
ZNF263,SCARF2,0.121790116
ZNF263,SLC16A3,0.160890593
ZNF263,SLC39A13,0.128181544
ZNF263,XPR1,0.186101178
ZNF263,ITGB1BP1,0.173787768
ZNF263,ADGRG1,0.032534431
ZNF263,HNRNPLL,0.187071285
ZNF263,TCEAL1,0.221240260
ZNF263,SNAP29,0.187868764
ZNF263,LHX2,0.074138656
ZNF263,PAXBP1,0.196722788
ZNF263,TJP2,0.129372293
ZNF263,GGPS1,0.280790349
ZNF263,HOMER1,0.146480818
ZNF263,BAG3,0.005311877
ZNF263,RNF14,0.008627769
ZNF263,RAB36,0.092659314
ZNF263,PPM1F,0.200603235
ZNF263,HS2ST1,0.332113174
ZNF263,PDE4DIP,0.265807076
ZNF263,KMT2B,0.016956988
ZNF263,MATR3,0.100840419
ZNF263,TRIM14,0.002965064
ZNF263,MRC2,0.044831152
TRIM28,GPC6,0.153165091
TRIM28,ZNF263,0.108746766
TRIM28,TXNRD2,0.228700304
TRIM28,MAPRE2,0.254748114
TRIM28,RCC1,0.122964332
TRIM28,COMT,0.068216723
TRIM28,CRKL,0.151035855
TRIM28,ZNF280B,0.273698307
TRIM28,YDJC,0.240637644
TRIM28,ZNF595,0.123912615
TRIM28,RBM33,0.131321694
TRIM28,FABP3,0.094045538
TRIM28,GPC5,0.224993650
TRIM28,SDF2L1,0.220554220
TRIM28,PPIL2,0.032000632
TRIM28,ABL1,0.217630173
TRIM28,ZNF718,0.321990786
TRIM28,RSPH14,0.043807447
TRIM28,YPEL1,0.054731732
TRIM28,IRF2BP2,0.199838418
TRIM28,MKLN1,0.310488775
TRIM28,MTTP,0.229727942
TRIM28,PCDH9,0.294992657
TRIM28,PCMT1,0.200456907
TRIM28,PIK3CB,0.123211309
TRIM28,PI4KA,0.189405542
TRIM28,TESC,0.153830380
TRIM28,ARHGEF10L,0.012999207
TRIM28,ANKRD30BL,0.127541655
TRIM28,NBPF1,0.239614379
TRIM28,PRKAR2B,0.109700715
TRIM28,MAPK1,0.097702269
TRIM28,BCR,0.109082218
TRIM28,ZSCAN31,0.083225111
TRIM28,MRPL40,0.241518140
TRIM28,TLE4,0.118220278
TRIM28,FAM155A,0.245913714
TRIM28,HIRA,0.012984071
TRIM28,ASPSCR1,0.084240787
TRIM28,NUP214,0.162726082
TRIM28,AIF1L,0.011091137
TRIM28,IMMP2L,0.226081326
TRIM28,KRBA1,0.144706903
TRIM28,TOP3B,0.120310956
TRIM28,FANK1,0.118777141
TRIM28,SNAP29,0.175987030
TRIM28,SEC22B,0.034510442
TRIM28,RAB36,0.154570821
TRIM28,PDE4DIP,0.225713200
TRIM28,CBX1,0.065221243
TRIM28,CBX3,0.017015694
TRIM28,CBX5,0.173213561
TRIM28,CEBPB,0.185531249
TRIM28,CHD3,0.088598132
TRIM28,ESR1,0.151106769
TRIM28,NR3C1,0.252124745
TRIM28,SERTAD2,0.241554907
TRIM28,SETDB1,0.189114722
TRIM28,SPG7,0.274406019
TRIM28,TRIM24,0.133325213
TRIM28,TRIM28,0.970987020
TRIM28,VIM,0.093305522
TRIM28,ZNF197,0.138057694
TRIM28,ZNF354A,0.150716112
TRIM28,ZNF382,0.253276184
TRIM28,ZNF689,0.021070162
TRIM28,ZNF74,0.220860377
CEBPB,ABCF2,0.201387058
CEBPB,HIPK3,0.113354039
CEBPB,RASGRP1,0.226821135
CEBPB,LRPPRC,0.143757573
CEBPB,OPTN,0.254802785
CEBPB,SUGP2,0.222936253
CEBPB,ALG3,0.070716287
CEBPB,EIF1,0.249518882
CEBPB,FLOT1,0.298614864
CEBPB,HNRNPR,0.288385361
CEBPB,SRRM1,0.166438031
CEBPB,APC2,0.206797418
CEBPB,NDRG1,0.207712405
CEBPB,WFDC2,0.067920690
CEBPB,RAPGEF3,0.125716719
CEBPB,PRMT5,0.199060680
CEBPB,UBAC1,0.146587664
CEBPB,TIMM44,0.030530785
CEBPB,CLGN,0.154667509
CEBPB,SEC23A,0.277460372
CEBPB,CEBPB,0.748145140
CEBPB,ATG7,0.290930531
CEBPB,CD226,0.145615811
CEBPB,STAG2,0.312747849
CEBPB,CHL1,0.255947896
CEBPB,KDM5B,0.244926551
CEBPB,NEK6,0.127503885
CEBPB,NCKAP1,0.310381634
CEBPB,ZNF460,0.067031105
CEBPB,FAXDC2,0.209375619
CEBPB,USP20,0.149064497
CEBPB,ME3,0.281437467
CEBPB,MRPS30,0.219780208
CEBPB,SUB1,0.332023729
CEBPB,MLLT11,0.280770447
CEBPB,SLC27A2,0.118518272
CEBPB,TBC1D8,0.254719613
CEBPB,NISCH,0.131492042
CEBPB,EGLN3,0.253118653
CEBPB,PDAP1,0.068858613
CEBPB,SLC25A25,0.028838333
CEBPB,ESCO1,0.197235575
CEBPB,ZBED9,0.157521596
CEBPB,OSBPL10,0.171290550
CEBPB,NOSTRIN,0.021717971
CEBPB,ACAP3,0.028246285
CEBPB,RFFL,0.039508326
CEBPB,SLC36A4,0.224761331
CEBPB,LRRK2,0.244666086
CEBPB,CLTC,0.275476715
CEBPB,AFMID,0.254579094
CEBPB,COL4A2,0.147789535
CEBPB,NUP35,0.156006997
CEBPB,RBM45,0.153878021
CEBPB,C2orf76,0.009235370
CEBPB,SCLT1,0.183808413
CEBPB,C4orf33,0.225939795
CEBPB,PRRC1,0.005886278
CEBPB,AMDHD1,0.022986609
CEBPB,ISM2,0.023198791
CEBPB,CSTF1,0.277668357
CEBPB,PDIK1L,0.024009974
CEBPB,PUS10,0.032204565
CEBPB,CTSH,0.101597248
CEBPB,CTSS,0.008059729
CEBPB,ZNF595,0.172417556
CEBPB,TTC39B,0.064898737
CEBPB,FREM1,0.135098410
CEBPB,DBI,0.052117349
CEBPB,DBT,0.265303278
CEBPB,DCN,0.085070652
CEBPB,CNST,0.265419213
CEBPB,AKR1C1,0.080818443
CEBPB,DDIT3,0.216745448
CEBPB,TIGD2,0.016622134
CEBPB,DYNC1H1,0.272992855
CEBPB,AGT,0.032229176
CEBPB,DUSP1,0.115363167
CEBPB,E4F1,0.161390688
CEBPB,APLF,0.017681646
CEBPB,ADGRE1,0.082085077
CEBPB,C4orf46,0.009545337
CEBPB,SMIM14,0.154751043
CEBPB,EPB41,0.188500302
CEBPB,EPB41L2,0.208041722
CEBPB,ETF1,0.063590838
CEBPB,ETFB,0.196709888
CEBPB,ETFDH,0.267717527
CEBPB,FABP3,0.182773062
CEBPB,HEPACAM,0.034798326
CEBPB,HNRNPA3,0.012824512
CEBPB,VWDE,0.093994241
CEBPB,FDFT1,0.162756832
CEBPB,KCTD20,0.266638866
CEBPB,FGFR2,0.115933279
CEBPB,FGL1,0.073321277
CEBPB,XRN2,0.259989087
CEBPB,IKZF3,0.003777779
CEBPB,MTF2,0.279132390
CEBPB,SACM1L,0.122361763
CEBPB,RPIA,0.050221747
CEBPB,CNOT1,0.232517935
CEBPB,MYO16,0.040831604
CEBPB,FNBP1,0.232664430
CEBPB,CLASP2,0.336924840
CEBPB,PLXND1,0.020849849
CEBPB,SLC35D1,0.273882037
CEBPB,PSME4,0.197621330
CEBPB,EXOC6B,0.286563104
CEBPB,PPIP5K2,0.054596353
CEBPB,FMO5,0.199515671
CEBPB,KIAA0930,0.216915566
CEBPB,FN1,0.198079650
CEBPB,UBR4,0.158688146
CEBPB,FNBP4,0.306122209
CEBPB,COTL1,0.137018540
CEBPB,ABCA6,0.078668635
CEBPB,RPL13A,0.251455558
CEBPB,PIK3R5,0.009394485
CEBPB,WBP2,0.177083049
CEBPB,SLC7A11,0.015216489
CEBPB,EID1,0.317817950
CEBPB,TMEM9,0.275135448
CEBPB,FUT8,0.221644554
CEBPB,GPATCH11,0.215205533
CEBPB,MEIOB,0.259140935
CEBPB,ZNF718,0.217872084
CEBPB,POC1A,0.017513613
CEBPB,NOL11,0.073777983
CEBPB,TKFC,0.102761578
CEBPB,PCDHB5,0.019725268
CEBPB,TIMM13,0.262992237
CEBPB,AMPD3,0.271155597
CEBPB,PGAP2,0.184254208
CEBPB,GOT1,0.199523500
CEBPB,C12orf40,0.215378567
CEBPB,RNF149,0.245965584
CEBPB,COX18,0.018540067
CEBPB,P2RY8,0.009676860
CEBPB,GTF2H2,0.168087513
CEBPB,ABT1,0.166090849
CEBPB,GPR132,0.176364670
CEBPB,UBQLN1,0.069341717
CEBPB,SERPIND1,0.102029071
CEBPB,HCFC1,0.144904686
CEBPB,HDLBP,0.124532725
CEBPB,HLF,0.168711595
CEBPB,HNMT,0.039771834
CEBPB,HNRNPF,0.172446556
CEBPB,HNRNPH1,0.154158933
CEBPB,RAB37,0.188384770
CEBPB,AGFG2,0.242359304
CEBPB,PRMT1,0.135578607
CEBPB,HSPA9,0.279450616
CEBPB,FREM2,0.040325917
CEBPB,ZKSCAN2,0.169402373
CEBPB,APOH,0.087230342
CEBPB,RBPJ,0.232958397
CEBPB,IGSF1,0.131170546
CEBPB,IL6R,0.154163200
CEBPB,IL16,0.143958664
CEBPB,INSIG1,0.136819667
CEBPB,ITGA5,0.073321277
CEBPB,ITPR1,0.197270732
CEBPB,NDUFS7,0.127737095
CEBPB,KCNH2,0.026752456
CEBPB,KPNB1,0.294238646
CEBPB,ZNF805,0.167288772
CEBPB,LIPC,0.062359099
CEBPB,FADS1,0.150822816
CEBPB,FADS3,0.192643902
CEBPB,FAM102A,0.169799866
CEBPB,LPP,0.179457537
CEBPB,CUEDC1,0.091794771
CEBPB,CTXN1,0.084071660
CEBPB,ARNT,0.310241444
CEBPB,LTBR,0.013775085
CEBPB,SMAD6,0.024517003
CEBPB,MDH1,0.283795090
CEBPB,MDM4,0.197324910
CEBPB,MEIS1,0.045664760
CEBPB,MGST2,0.170539214
CEBPB,MLH1,0.128301952
CEBPB,ASL,0.159255064
CEBPB,MSH2,0.275428056
CEBPB,ATF3,0.014083497
CEBPB,NDUFS4,0.210517720
CEBPB,NDUFV2,0.259693135
CEBPB,NEK3,0.027238876
CEBPB,NFE2L2,0.185801661
CEBPB,NFIL3,0.064736815
CEBPB,NFKBIA,0.208837552
CEBPB,NFX1,0.104983044
CEBPB,NPAS1,0.296360787
CEBPB,NUP98,0.273209154
CEBPB,C18orf32,0.000903927
CEBPB,ORC1,0.002865123
CEBPB,CLDN11,0.363338066
CEBPB,PCSK6,0.022192327
CEBPB,PAFAH2,0.028679985
CEBPB,PARD6A,0.164547544
CEBPB,WDPCP,0.211562954
CEBPB,PCK2,0.101435926
CEBPB,TXNDC11,0.102580468
CEBPB,SSUH2,0.015098239
CEBPB,PCMT1,0.178187826
CEBPB,APH1A,0.005865453
CEBPB,PCNA,0.162856362
CEBPB,INSIG2,0.032652908
CEBPB,HSD17B11,0.216009456
CEBPB,AIG1,0.170920883
CEBPB,LCMT1,0.192890976
CEBPB,PCF11,0.223661766
CEBPB,MED15,0.196774009
CEBPB,PDGFRB,0.023472840
CEBPB,MPP6,0.180893922
CEBPB,ENPP2,0.157968569
CEBPB,ATP8B1,0.135876377
CEBPB,PGK1,0.167936719
CEBPB,PLCD1,0.094127984
CEBPB,PLCG2,0.177309028
CEBPB,PLXNB1,0.006544769
